date,monthly_sales
2017-09-01,122407.57
2017-10-01,162687.56
2017-12-01,245673.84
2018-01-01,127574.73
2018-02-01,144799.54
2018-04-01,130643.92
2018-05-01,139165.06
2018-06-01,125735.36
2018-08-01,125409.90
2018-09-01,343337.14
2018-10-01,440562.10
2018-12-01,653944.72
2019-01-01,359025.06
2019-02-01,356607.19
2019-04-01,379549.74
2019-05-01,340152.29
2019-06-01,343792.08
2019-08-01,338108.87
2019-09-01,808250.42
2019-10-01,1092622.30
2019-12-01,1488174.01
2020-01-01,812929.77
2020-02-01,862762.82
2020-04-01,130520.91
2020-05-01,145049.08
2020-06-01,362545.18
2020-08-01,799327.63
2020-09-01,2296919.58
2020-10-01,3109316.96
2020-12-01,4078790.04
2021-01-01,2303086.42
2021-02-01,2355170.55
2021-04-01,2253575.01
2021-05-01,2181587.87
2021-06-01,2288587.49
2021-08-01,2349478.81
2021-09-01,11192823.18
2021-10-01,13908229.35
2021-12-01,19537146.58
